epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.937,1.13728,2.09762,1.30723,0.57786,0.63099,0.59991,0.39201,1.16972,1.26849,1.26642,0.00332766,0.00332766,0.070051
2,214.776,1.12208,1.28309,1.2816,0.58434,0.60891,0.57224,0.34825,1.36089,1.43809,1.43697,0.00666027,0.00666027,0.0400503
3,321.971,1.25055,1.48537,1.37418,0.51756,0.52067,0.47652,0.28277,1.49493,1.74526,1.53496,0.00998999,0.00998999,0.0100467
4,428.385,1.31092,1.5794,1.4259,0.62288,0.6234,0.59773,0.37228,1.34232,1.37093,1.4186,0.00999023,0.00999023,0.00999023
5,534.977,1.24323,1.41625,1.38058,0.63533,0.69442,0.64623,0.42098,1.25333,1.23609,1.35837,0.00998264,0.00998264,0.00998264
6,640.919,1.19894,1.31072,1.347,0.66903,0.69712,0.65952,0.44077,1.19524,1.1444,1.31281,0.00997288,0.00997288,0.00997288
7,747.111,1.17431,1.26129,1.32657,0.66026,0.70885,0.68841,0.46591,1.17707,1.11543,1.28711,0.00996097,0.00996097,0.00996097
8,853.572,1.15172,1.2146,1.30668,0.70898,0.72985,0.71534,0.48644,1.13857,1.03056,1.25909,0.0099469,0.0099469,0.0099469
9,959.391,1.13166,1.17504,1.29492,0.70595,0.74445,0.71971,0.4966,1.13064,0.97888,1.24737,0.00993068,0.00993068,0.00993068
10,1065.87,1.11252,1.13523,1.28092,0.70871,0.75438,0.73045,0.50856,1.10293,0.975,1.23153,0.00991232,0.00991232,0.00991232
11,1172.32,1.10514,1.11986,1.27733,0.72994,0.76423,0.74955,0.52698,1.08715,0.92358,1.21869,0.00989183,0.00989183,0.00989183
12,1279.17,1.08808,1.09248,1.26549,0.73943,0.77513,0.76464,0.54007,1.06029,0.89199,1.19763,0.00986922,0.00986922,0.00986922
13,1385.24,1.08493,1.07679,1.26288,0.73525,0.78126,0.76449,0.54354,1.04963,0.869,1.18596,0.00984449,0.00984449,0.00984449
14,1491.04,1.07495,1.067,1.25254,0.74469,0.79208,0.77991,0.55502,1.03946,0.8469,1.17655,0.00981765,0.00981765,0.00981765
15,1596.9,1.07191,1.04848,1.25064,0.76214,0.78445,0.78644,0.56661,1.02547,0.8331,1.16925,0.00978873,0.00978873,0.00978873
16,1702.79,1.05999,1.03247,1.24413,0.76429,0.79077,0.79824,0.57132,1.02376,0.82183,1.16498,0.00975773,0.00975773,0.00975773
17,1808.78,1.05765,1.02373,1.24115,0.77059,0.79742,0.80141,0.5804,1.00273,0.80345,1.15183,0.00972466,0.00972466,0.00972466
18,1914.94,1.04858,1.0113,1.23358,0.77639,0.79575,0.80661,0.5837,1.00458,0.79359,1.14944,0.00968955,0.00968955,0.00968955
19,2021.41,1.04679,1.00516,1.23062,0.78018,0.79842,0.81655,0.59535,0.99613,0.77627,1.14488,0.00965239,0.00965239,0.00965239
20,2127.57,1.04227,0.99234,1.22983,0.78457,0.8071,0.824,0.60274,0.98726,0.76888,1.13783,0.00961322,0.00961322,0.00961322
21,2233.2,1.03704,0.98417,1.22131,0.7889,0.80956,0.82572,0.60366,0.98547,0.7627,1.13603,0.00957205,0.00957205,0.00957205
22,2338.57,1.02714,0.97079,1.2203,0.79114,0.80792,0.82924,0.60769,0.97993,0.7553,1.13279,0.00952889,0.00952889,0.00952889
23,2443.35,1.02966,0.97039,1.21913,0.7927,0.8105,0.83262,0.61194,0.97641,0.74589,1.1308,0.00948377,0.00948377,0.00948377
24,2548.6,1.02709,0.96115,1.217,0.79985,0.81074,0.83675,0.61649,0.97258,0.73969,1.12872,0.00943671,0.00943671,0.00943671
25,2654.02,1.02689,0.95541,1.21277,0.79734,0.81355,0.84012,0.6198,0.97017,0.73447,1.12647,0.00938772,0.00938772,0.00938772
26,2759.8,1.0233,0.9465,1.21379,0.80048,0.81657,0.84457,0.62295,0.96785,0.73139,1.12418,0.00933683,0.00933683,0.00933683
27,2865.42,1.02168,0.93985,1.21104,0.80044,0.81838,0.84625,0.62492,0.96703,0.72804,1.1227,0.00928405,0.00928405,0.00928405
28,2971.39,1.01518,0.93811,1.20821,0.80364,0.81937,0.84811,0.62602,0.96495,0.72552,1.12119,0.00922942,0.00922942,0.00922942
29,3078.13,1.01465,0.93209,1.20262,0.80291,0.82062,0.84894,0.62751,0.96375,0.72288,1.11993,0.00917296,0.00917296,0.00917296
30,3184.21,1.00892,0.92662,1.2026,0.80296,0.82515,0.85177,0.62926,0.9625,0.7199,1.11866,0.00911469,0.00911469,0.00911469
31,3289.94,1.00611,0.92302,1.20133,0.80397,0.82395,0.85252,0.62973,0.96178,0.71801,1.11792,0.00905463,0.00905463,0.00905463
32,3395.85,1.00127,0.90555,1.19611,0.79797,0.82985,0.8536,0.63051,0.96059,0.7156,1.11702,0.00899282,0.00899282,0.00899282
33,3502.19,1.00145,0.90987,1.1954,0.79724,0.83273,0.8543,0.63173,0.95986,0.71422,1.11658,0.00892928,0.00892928,0.00892928
34,3608.86,1.00048,0.90173,1.19492,0.79788,0.83388,0.85554,0.63309,0.95854,0.71273,1.11526,0.00886404,0.00886404,0.00886404
35,3715.03,0.9953,0.8996,1.19234,0.7977,0.83553,0.8559,0.63355,0.95756,0.71054,1.11431,0.00879713,0.00879713,0.00879713
36,3820.65,0.99618,0.89671,1.19228,0.79818,0.83536,0.85734,0.63439,0.95707,0.70878,1.11374,0.00872857,0.00872857,0.00872857
37,3926.71,0.9922,0.8936,1.18887,0.79811,0.83714,0.85795,0.63489,0.95635,0.70725,1.11318,0.00865839,0.00865839,0.00865839
38,4032.57,0.98912,0.88857,1.19036,0.79859,0.83747,0.85868,0.63568,0.95606,0.70593,1.11302,0.00858664,0.00858664,0.00858664
39,4139.19,0.99106,0.88554,1.18819,0.80133,0.83645,0.85941,0.63644,0.95534,0.70449,1.11235,0.00851333,0.00851333,0.00851333
40,4246.23,0.98354,0.8764,1.18384,0.80205,0.83604,0.86032,0.63721,0.95466,0.70324,1.11148,0.00843851,0.00843851,0.00843851
41,4352.19,0.98532,0.8734,1.18364,0.80285,0.83876,0.86075,0.63783,0.95392,0.70129,1.11069,0.0083622,0.0083622,0.0083622
42,4458.15,0.98178,0.87249,1.18212,0.80557,0.83617,0.86139,0.63909,0.95284,0.69982,1.10976,0.00828443,0.00828443,0.00828443
43,4564.45,0.98286,0.86794,1.18094,0.80615,0.83571,0.86237,0.64045,0.95184,0.69842,1.10882,0.00820525,0.00820525,0.00820525
44,4670.88,0.98154,0.86141,1.18127,0.80723,0.83649,0.86296,0.64146,0.95122,0.69715,1.10797,0.00812468,0.00812468,0.00812468
45,4776.83,0.97553,0.86003,1.17889,0.80687,0.83829,0.86366,0.64222,0.95061,0.69573,1.1074,0.00804277,0.00804277,0.00804277
46,4882.88,0.97148,0.85778,1.1782,0.80725,0.83733,0.86335,0.64324,0.94975,0.69416,1.10668,0.00795954,0.00795954,0.00795954
